0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
datetime,temp,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex
2005-09-12T00:00:00,15.3,14.7,96.46,0.0,0.0,,0.0,0.0,14.5,12.0,1017.3,72.1,,,
2005-09-12T01:00:00,15.2,14.2,93.82,0.0,0.0,,0.0,0.0,14.6,16.0,1017.6,53.5,,,
2005-09-12T02:00:00,15.1,14.4,95.93,0.0,0.0,,0.0,0.0,13.6,8.0,1017.6,93.9,,,
2005-09-12T03:00:00,14.7,13.9,95.14,0.0,0.0,,0.0,0.0,14.0,5.0,1018.0,93.9,,,
2005-09-12T04:00:00,14.8,13.9,94.36,0.0,0.0,,0.0,0.0,15.6,5.0,1018.0,78.5,,,
2005-09-12T05:00:00,14.7,13.9,94.68,0.0,0.0,,0.0,0.0,14.5,1.0,1018.0,93.6,,,
2005-09-12T06:00:00,14.7,13.7,94.0,0.0,0.0,,0.0,0.0,13.2,4.0,1018.3,86.7,,,
2005-09-12T07:00:00,14.5,13.4,93.19,3.014,100.0,rain,0.0,0.0,12.9,10.0,1019.0,90.3,,,
2005-09-12T08:00:00,14.5,13.3,92.89,0.0,0.0,,0.0,0.0,12.1,355.0,1019.6,76.7,,,
2005-09-12T09:00:00,14.9,13.5,91.26,0.0,0.0,,0.0,0.0,13.6,6.0,1020.3,82.2,,,
2005-09-12T10:00:00,16.0,13.5,85.18,0.0,0.0,,0.0,0.0,14.6,19.0,1021.1,83.4,,,
2005-09-12T11:00:00,16.8,13.3,79.75,0.0,0.0,,0.0,0.0,17.9,19.0,1021.7,69.2,,,
2005-09-12T12:00:00,17.6,13.4,76.64,0.0,0.0,,0.0,0.0,16.8,25.0,1021.7,77.8,,,
2005-09-12T13:00:00,18.8,13.6,71.66,0.0,0.0,,0.0,0.0,15.6,39.0,1021.8,67.5,,,
2005-09-12T14:00:00,19.7,12.9,65.11,0.0,0.0,,0.0,0.0,15.5,55.0,1022.2,44.5,,,
2005-09-12T15:00:00,20.0,12.8,63.15,0.0,0.0,,0.0,0.0,16.6,68.0,1022.2,37.6,,,
2005-09-12T16:00:00,19.9,11.4,58.16,0.0,0.0,,0.0,0.0,17.0,66.0,1022.0,50.4,,,
2005-09-12T17:00:00,19.6,10.1,54.21,0.0,0.0,,0.0,0.0,15.6,83.0,1022.0,37.9,,,
2005-09-12T18:00:00,19.2,9.8,54.26,0.0,0.0,,0.0,0.0,11.5,96.0,1022.2,55.7,,,
2005-09-12T19:00:00,17.7,10.7,63.59,0.0,0.0,,0.0,0.0,6.2,115.0,1022.5,35.6,,,
2005-09-12T20:00:00,16.0,10.6,70.26,0.0,0.0,,0.0,0.0,6.4,111.0,1023.4,32.9,,,
2005-09-12T21:00:00,14.4,10.7,78.25,0.0,0.0,,0.0,0.0,7.4,116.0,1023.7,32.9,,,
2005-09-12T22:00:00,13.6,10.8,82.92,0.0,0.0,,0.0,0.0,6.8,25.0,1024.2,40.0,,,
2005-09-12T23:00:00,12.8,10.9,87.97,0.0,0.0,,0.0,0.0,2.7,282.0,1024.4,41.7,,,
2005-09-13T00:00:00,12.5,11.4,92.95,0.0,0.0,,0.0,0.0,4.6,131.0,1024.7,41.7,,,
2005-09-13T01:00:00,11.7,10.9,94.76,0.0,0.0,,0.0,0.0,3.0,254.0,1024.4,33.3,,,
2005-09-13T02:00:00,11.6,11.1,96.45,0.0,0.0,,0.0,0.0,4.7,213.0,1024.7,50.0,,,
2005-09-13T03:00:00,11.3,11.0,98.26,0.0,0.0,,0.0,0.0,3.6,255.0,1024.7,41.7,,,
2005-09-13T04:00:00,11.3,11.0,97.93,0.0,0.0,,0.0,0.0,3.8,220.0,1024.7,33.3,,,
2005-09-13T05:00:00,10.7,10.4,98.16,0.0,0.0,,0.0,0.0,3.6,242.0,1024.7,35.6,,,
2005-09-13T06:00:00,10.5,10.3,98.84,0.0,0.0,,0.0,0.0,6.1,240.0,1024.7,55.3,,,
2005-09-13T07:00:00,9.7,9.5,98.77,0.16,100.0,rain,0.0,0.0,5.2,248.0,1024.7,90.0,,,
2005-09-13T08:00:00,12.2,12.0,98.48,0.0,0.0,,0.0,0.0,5.2,251.0,1024.7,90.0,,,
2005-09-13T09:00:00,13.8,13.5,97.9,0.0,0.0,,0.0,0.0,5.8,238.0,1025.1,90.0,,,
